row	esperanto	column	verdict	current_or_summary	suggested_minimal	reason
56	afero	Chinese_Trans	optional_medium	事情，事务，案件	事情，事务，案件；（法）诉讼事件；（商）交易	中核義は正しいが、JA/KOにある法商語義の補完で学習価値が上がる。
129	arko	Chinese_Trans|Korean_Trans	keep	弧，弧形物，拱形物 / 활 모양의 곡선, 또는 아치형 구조물	-	現訳で主要義は成立。
188	bazo	Chinese_Trans|Korean_Trans	keep	基础，根基… / 기초, 토대…	-	既に多義を十分保持。
204	bildo	Korean_Trans	keep	그림, 영상, 심상, 광경, 비유	-	KOも主要義を保持。
269	ciklo	Chinese_Trans|Korean_Trans	optional_medium	周期；组诗 / 주기, 반복되는 순환	周期；循环；（化）环；（物理）周波单位 / 주기; 순환; (화학) 고리	ZH/KOともやや狭い。
327	disko	Chinese_Trans|Korean_Trans	keep	铁饼，唱片，盘状物；（计）磁盘 / 레코드판, 디스크	-	主要義は成立。
425	fadeno	Japanese_Trans	keep	…（metal〜）…	-	意図的な接辞注記で許容。
464	figuro	Korean_Trans	optional_low	사람이나 물체의 겉모습, 형태	겉모습, 형태; (수학) 도형; 비유적 형상	KOがやや狭いが誤訳ではない。
628	ideo	Korean_Trans	optional_low	생각	관념, 생각, 아이디어	簡潔だが狭い。
642	imuna	Korean_Trans	optional_low	질병에 대한 면역이 있는	면역의; (법) 면책의; (기계) 내성이 있는	医療義に偏る。
725	kanalo	Chinese_Trans	optional_low	运河；沟渠，水道；海峡	运河；水道；海峡；（通信）频道；（解）管道	ZHで一部義が省略。
797	kolono	Korean_Trans	optional_low	둥근 기둥, 원주	둥근 기둥; 기념주; (군) 종대	KOが狭い。
799	kolumno	Chinese_Trans|Korean_Trans	keep	栏，纵列 / 신문의 칼럼, 세로 난	-	基礎義は成立。
842	konscii	Japanese_Trans	keep	「〜について」…	-	可読で問題なし。
868	korno	Chinese_Trans|Korean_Trans	optional_low	兽角 / 동물 … 뿔	角; (乐)号角 / 뿔; (음악) 호른	楽器義補完は有用だが任意。
870	korpo	Chinese_Trans	optional_medium	身体，体	身体；物体；（数）体	JA準拠で数学義補完が有益。
991	linio	Chinese_Trans|Korean_Trans	keep	线；列… / 선, 줄…	-	十分に広い。
1035	marko	Chinese_Trans|Korean_Trans	keep	记号… / 표시…	-	主要義保持。
1100	modelo	Korean_Trans	optional_low	본보기	모형, 모델; 본보기	KOが簡略。
1105	modo	Korean_Trans	optional_medium	유행, 특히 의상·패션의 유행	유행; (문법) 서법; (통계) 최빈값	JAの主要多義が欠落。
1171	nodo	Chinese_Trans	keep	结，交点；要点；（计）节点	-	既に補完済み。
1218	ordo	Chinese_Trans	optional_medium	次序，秩序	次序；秩序；【军】队形；【建】柱式；【生物】目	中核義は正しいが専門義は不足。
1228	oro	Korean_Trans	keep	금, 황금	-	基礎義として十分。
1243	paneo	Korean_Trans	optional_medium	고장, 멈춤	고장으로 인한 정지; (컴퓨터) 크래시	現代用法（IT）補完が有用。
1292	periodo	Korean_Trans	optional_medium	기간, 시기	기간, 시기; 주기; (지질) 기	周期義が欠落。
1432	punkto	Chinese_Trans	optional_medium	点，地点	点；地点；句点；要点；（计）点/点号	句点・要点義の補完が有用。
1440	radiko	Korean_Trans	optional_medium	식물의 뿌리, 사물의 근본	뿌리; (언어) 어근; (수학) 근	語根・数学根の補完が有用。
1441	radio	Chinese_Trans|Korean_Trans	keep	光线… / 빛의 줄기…	-	既に多義を保持。
1462	redukti	Korean_Trans	optional_medium	줄이다, 축소하다	줄이다; (화학) 환원하다; (의학) 정복하다	専門義が欠落。
1486	revizii	Korean_Trans	optional_low	검사하거나 재검토하여 수정하다	검사하다; 재검토·수정하다; (인쇄) 교정하다	主要義はあるが印刷義補完可。
1492	reĝimo	Korean_Trans	optional_low	정치 체제…	정치 체제; 작동 모드	情/機械義補完は任意。
1509	ripo	Chinese_Trans|Korean_Trans	keep	肋骨… / 갈비뼈…	-	十分に広い。
1525	rozo	Chinese_Trans|Korean_Trans	keep	蔷薇属植物… / 장미…	-	学習用途として十分。
1577	serio	Korean_Trans	optional_low	연속된 것, 일련으로 이어짐	연속, 시리즈; (수학) 급수	主要義はあるが数学義補完可。
