row	esperanto	column	verdict	before	after
129	arko	Korean_Trans	optional_low	활 모양; (수학) 호, (물리) 전호	활, 활 모양; (수학) 호; (건축) 아치; (물리) 전호
327	disko	Korean_Trans	optional_low	레코드판, 디스크	원반; 레코드판; (정보) 디스크
652	infero	Chinese_Trans	optional_low	地狱	地狱；（转）人间地狱；冥界
799	kolumno	Korean_Trans	optional_low	신문의 칼럼, 세로 난	신문 칼럼; 세로 열(欄); (수학) 자리수
957	lango	Chinese_Trans	optional_low	舌头，口才	舌头；（食）舌肉；（转）口才
1061	membro	Chinese_Trans	optional_low	肢；成员，会员	成员，会员；（解）肢体（手脚等）
1100	modelo	Korean_Trans	optional_low	모형, 원형, 본보기; (인물) 모델	모형, 원형, 본보기; (인물) 모델; (이론) 모델
1171	nodo	Chinese_Trans	optional_low	结，交点；要点；（计）节点	结，交点；要点；（计）节点；（航海）节（速度单位）
1218	ordo	Chinese_Trans	optional_low	次序，秩序；（生物分类）目	次序，秩序；（军）队形；（建）柱式；（生）目
1228	oro	Chinese_Trans	optional_low	金；金钱	金，黄金；金钱，财富
1228	oro	Korean_Trans	optional_low	금, 황금	금, 황금; (비유) 부, 재물
1306	piedo	Chinese_Trans	optional_medium	脚	足（脚踝以下）；（物体）底部、脚部；（诗）音步
1363	potenco	Chinese_Trans	optional_medium	力量，权力，权，政权	力量，权力；强国；（数）幂
1363	potenco	Korean_Trans	optional_medium	힘, 권력	힘, 권력; (국가) 강국; (수학) 거듭제곱
1486	revizii	Chinese_Trans	optional_medium	检查；校订，核对	复查，重新审查；修订，校订；（法）再审
1486	revizii	Korean_Trans	optional_medium	검사하거나 재검토하여 수정하다	재검토·점검하다; 수정·교정하다; (법) 재심하다
1786	trunko	Chinese_Trans	optional_low	树干，躯干；（数）截头体	树干，躯干；（数）截头体；（建）柱身
1786	trunko	Korean_Trans	optional_low	나무줄기, 몸통; (수학) 절두체	나무줄기, 몸통; (수학) 절두체; (건축) 기둥몸체
1864	vigla	Chinese_Trans	optional_low	活跃，精神焕发，活泼	活跃，生气勃勃；警觉的
1864	vigla	Korean_Trans	optional_low	활기차고 원기 왕성한, 생기 있고 활발한	활발하고 생기 있는; 경계심 있는
1910	ĉelo	Chinese_Trans	optional_medium	小房间，单间，囚室；蜂房，细胞	小房间，囚室；蜂房，细胞；（政）基层组织（细胞）
2070	distrikto	Chinese_Trans	optional_low	行政区，地区	行政区，地区；辖区
2070	distrikto	Korean_Trans	optional_low	행정구역, 관할구	행정구역, 관할구; 지구
2369	uragano	Chinese_Trans	optional_low	飓风	飓风；（转）风暴般的动荡
2369	uragano	Korean_Trans	optional_low	맹렬한 대폭풍, 허리케인	허리케인, 대폭풍; (비유) 거센 소용돌이
