PhraseID,current_phrase,current_audio_key,matched_audio_file,match_type
285,Mi agis senzorge,0130_mi_agis_senzorge,0130_estis_senzorge_de_mia_flanko.wav,prefix
388,Feliĉan Divalon!,0233_felicxan_divalon,0233_felicxan_divalion.wav,prefix
449,Mi havas akĉenton,0294_mi_havas_akcxenton,0294_mi_havas_akcenton.wav,prefix
457,Vi ne havas akĉenton,0302_vi_ne_havas_akcxenton,0302_vi_ne_havas_akcenton.wav,prefix
532,Ĉu vi povas rekomendi junulargastejon?,0377_cxu_vi_povas_rekomendi_junulargastejon,0377_cxu_vi_povas_rekomendi_hostelon.wav,prefix
551,"Kion vi trovas pli interesa, teatron aŭ operon?",0396_kion_vi_trovas_pli_interesa_teatron_aux_operon,0396_cxu_vi_trovas_teatron_aux_operon_pli_interesa.wav,prefix
632,Ĉu vi estus tiel afabla kaj klarigus tion denove?,0477_cxu_vi_estus_tiel_afabla_kaj_klarigus_tion_denove,0477_cxu_vi_estus_tiel_afabla_klarigi_tion_denove.wav,prefix
641,Ĉu ĝenus vin doni al mi la tekkomputilon?,0486_cxu_gxenus_vin_doni_al_mi_la_tekkomputilon,0486_cxu_vi_gxenus_doni_al_mi_la_tekkomputilon.wav,prefix
701,Estu singarda!,0546_estu_singarda,0546_estu_singardema.wav,prefix
766,Mi tordis al mi la maleolon,0611_mi_tordis_al_mi_la_maleolon,0611_mi_distordis_mian_maleolon.wav,prefix
803,Oni enrompis en mian aŭton,0648_oni_enrompis_en_mian_auxton,0648_oni_enrompis_mian_auxton.wav,prefix
826,Ni penos fari lian fotoroboton,0671_ni_penos_fari_lian_fotoroboton,0671_ni_penos_fari_lian_fantombildon.wav,prefix
827,Ĉu vi turnis vin al la oficejo pri perditaj aĵoj?,0672_cxu_vi_turnis_vin_al_la_oficejo_pri_perditaj_ajxoj,0672_cxu_vi_turnigxis_al_la_oficejo_pri_perditaj_ajxoj.wav,prefix
853,Ĉu mi povas prezenti min?,0698_cxu_mi_povas_prezenti_min,0698_cxu_mi_povas_prezentigxi.wav,prefix
854,Mi ŝatus prezenti Alicon al vi,0699_mi_sxatus_prezenti_alicon_al_vi,0699_mi_sxatus_prezenti_vin_al_alico.wav,prefix
888,Kio estas via adreso?,0733_kio_estas_via_adreso,0733_kiu_estas_via_adreso.wav,prefix
935,Mi estas usonano,0780_mi_estas_usonano,0780_mi_estas_amerikano.wav,prefix
952,Al kiu religio vi apartenas?,0797_al_kiu_religio_vi_apartenas,0797_kia_estas_via_religio.wav,prefix
954,Mi estas islamanino,0799_mi_estas_islamanino,0799_mi_estas_musulmanino.wav,prefix
984,Mi estas edziniĝinta,0829_mi_estas_edzinigxinta,0829_mi_estas_edzigxinta.wav,prefix
991,"Ne, mi estas fraŭla",0836_ne_mi_estas_frauxla,0836_ne_mi_estas_sola.wav,prefix
1018,"Ne, mi estas solinfano",0863_ne_mi_estas_solinfano,0863_ne_mi_estas_sola_infano.wav,prefix
1064,Mi amas iri al noktokluboj,0909_mi_amas_iri_al_noktokluboj,0909_mi_amas_klubumi.wav,prefix
1086,Kion vi pensas pri hororaj filmoj?,0931_kion_vi_pensas_pri_hororaj_filmoj,0931_kion_vi_pensas_pri_teruraj_filmoj.wav,prefix
1206,Kio pri hodiaŭ?,1051_kio_pri_hodiaux,1051_kiel_pri_hodiaux.wav,prefix
1254,Lasu min trankvila,1099_lasu_min_trankvila,1099_lasu_min_trankvilan.wav,prefix
1260,Mi amas vin el mia tuta koro,1105_mi_amas_vin_el_mia_tuta_koro,1105_mi_amas_vin_per_mia_tuta_koro.wav,prefix
1273,Mi ŝatas vian veston,1118_mi_sxatas_vian_veston,1118_mi_sxatas_vian_vestaron.wav,prefix
1304,"Mi esperas, ke vi ege feliĉigos unu la alian",1149_mi_esperas_ke_vi_ege_felicxigos_unu_la_alian,1149_mi_esperas_ke_vi_faros_unu_la_alian_ege_felicxaj.wav,prefix
1356,Neniu rajtas forlasi la klasĉambron nun,1201_neniu_rajtas_forlasi_la_klascxambron_nun,1201_neniu_rajtas_forlasi_la_klason_nun.wav,prefix
1378,Mi studas la hindian,1223_mi_studas_la_hindian,1223_mi_studas_la_hindan.wav,prefix
1386,Mi prenas liberan jaron,1231_mi_prenas_liberan_jaron,1231_mi_prenas_pauxzjaron.wav,prefix
1444,Li malsukcesis en la ekzameno pri filozofio,1289_li_malsukcesis_en_la_ekzameno_pri_filozofio,1289_li_fiaskis_en_la_ekzameno_pri_filozofio.wav,prefix
1486,Ruĝo kaj verdo faras brunon,1331_rugxo_kaj_verdo_faras_brunon,1331_rugxa_kaj_verda_faras_brunan.wav,prefix
1503,Flavo kaj ruĝo faras oranĝan koloron,1348_flavo_kaj_rugxo_faras_orangxan_koloron,1348_flava_kaj_rugxa_faras_orangxan.wav,prefix
1504,Verdo kaj flavo faras helverdan koloron,1349_verdo_kaj_flavo_faras_helverdan_koloron,1349_verda_kaj_flava_faras_helverdan.wav,prefix
1600,Mi estis maldungita pro redukto de laborfortoj antaŭ du monatoj,1445_mi_estis_maldungita_pro_redukto_de_laborfortoj_antaux_du_monatoj,1445_oni_maldungis_min_antaux_du_monatoj.wav,prefix
1650,La limtempo por liveri la varojn finiĝas,1495_la_limtempo_por_liveri_la_varojn_finigxas,1495_la_limtempo_por_liveri_la_varojn_eksvalidigxas.wav,prefix
1664,Mi ofte faras afervojaĝojn,1509_mi_ofte_faras_afervojagxojn,1509_mi_ofte_faras_laborvojagxojn.wav,prefix
1686,Ĉu vi havas formularon por vivresumo?,1531_cxu_vi_havas_formularon_por_vivresumo,1531_cxu_vi_havas_modelon_de_vivresumo.wav,prefix
1713,Ĉi tio estas via laborkontrakto,1558_cxi_tio_estas_via_laborkontrakto,1558_cxi_tio_estas_via_laborokontrakto.wav,prefix
1736,Mi havas 15-jaran sperton kiel flegistino,1581_mi_havas_15_jaran_sperton_kiel_flegistino,1581_mi_havas_15_jaran_sperton_laborante_kiel_flegistino.wav,prefix
