row	esperanto	column	severity	type	current	suggested	reason
1398	procento	Chinese_Trans	medium	sense_balance	年息；百分之…	百分比；百分之…；利率	JA/KO は「パーセント」義を先頭に置く。現行ZHは「年息」が先行し、語義順としてやや偏る。
2	-ant-	Chinese_Trans	low	affix_label_consistency	主动现在分词（进行体）	主动现在分词（进行体）（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
4	-at-	Chinese_Trans	low	affix_label_consistency	被动现在分词（进行体）	被动现在分词（进行体）（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
5	-aĉ-	Chinese_Trans	low	affix_label_consistency	表示无价值，无用，不好，劣	表示无价值，无用，不好，劣（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
7	-eg-	Chinese_Trans	low	affix_label_consistency	大	大（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
8	-end-	Chinese_Trans	low	affix_label_consistency	必须被，应该被	必须被，应该被（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
9	-er-	Chinese_Trans	low	affix_label_consistency	某物的构成分子	某物的构成分子（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
10	-et-	Chinese_Trans	low	affix_label_consistency	小	小（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
12	-ing-	Chinese_Trans	low	affix_label_consistency	表示插物的器具	表示插物的器具（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
12	-ing-	Korean_Trans	low	affix_label_consistency	한쪽 끝에 물건을 꽂아 쓰는 도구	한쪽 끝에 물건을 꽂아 쓰는 도구 (접미사/접두사)	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
13	-int-	Chinese_Trans	low	affix_label_consistency	主动过去分词（完成体）	主动过去分词（完成体）（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
15	-it-	Chinese_Trans	low	affix_label_consistency	被动过去分词（完成体）	被动过去分词（完成体）（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
18	-nj-	Chinese_Trans	low	affix_label_consistency	构成对女子的爱称	构成对女子的爱称（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
20	-ont-	Chinese_Trans	low	affix_label_consistency	主动将来分词（表将要）	主动将来分词（表将要）（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
21	-op-	Chinese_Trans	low	affix_label_consistency	构成集合数	构成集合数（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
23	-ot-	Chinese_Trans	low	affix_label_consistency	被动将来分词（表将要）	被动将来分词（表将要）（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
23	-ot-	Korean_Trans	low	affix_label_consistency	수동·미래 분사	수동·미래 분사 (접미사/접두사)	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
25	-um-	Chinese_Trans	low	affix_label_consistency	（含义不定）	（含义不定）（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
27	-ĉj-	Chinese_Trans	low	affix_label_consistency	构成对男子的爱称	构成对男子的爱称（后缀）	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
1995	-ec-	Korean_Trans	low	affix_label_consistency	성질·특성이나 상태를 나타내는 〜	성질·특성이나 상태를 나타내는 〜 (접미사/접두사)	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
1997	-em-	Korean_Trans	low	affix_label_consistency	어떤 행동이나 성향이 잘 나타나는	어떤 행동이나 성향이 잘 나타나는 (접미사/접두사)	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
2001	-ig-	Korean_Trans	low	affix_label_consistency	…하게 하다	…하게 하다 (접미사/접두사)	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
2004	-ind-	Korean_Trans	low	affix_label_consistency	…할 가치가 있는, …할 만한	…할 가치가 있는, …할 만한 (접미사/접두사)	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
2008	-obl-	Korean_Trans	low	affix_label_consistency	배수, 몇 배	배수, 몇 배 (접미사/접두사)	語義自体は概ね正しいが、接辞項目としての明示ラベルが弱い。
