row	esperanto	column	current	baseline_old	verdict	reason	suggestion_if_expand	action_now
56	afero	Chinese_Trans	事情，事务，案件	事情；事务；案件；【法】诉讼事件；【商】交易	keep	核心義として成立。旧訳は拡張情報。誤訳ではない。	事情，事务，案件；（法）诉讼事件；（商）交易	no_change
257	cemento	Chinese_Trans	水泥，接合剂	水泥；接合剂；（牙科）黏固剂；（地质）胶结物	keep	核心義として成立。専門語義の省略はあるが不正確とは言えない。	水泥；接合剂；（牙科）黏固剂；（地质）胶结物	no_change
732	kapo	Chinese_Trans	头，头部	头；头脑；（量词）人/头；先端；领导人	keep	基本義は正しい。派生義省略のみ。	头；头脑；（量词）人/头；先端；领导者	no_change
1171	nodo	Chinese_Trans	结，交点	结；交点；要点；节；【理】波节；【海】节（速度单位）；（计）节点	keep	基本義は正しい。情報圧縮の範囲。	结；交点；要点；（计）节点	no_change
1218	ordo	Chinese_Trans	次序，秩序	次序；秩序；【军】队形；【建】柱式；【生物】目	keep	基本義は正しい。専門分類語義を省略しただけ。	次序；秩序；【军】队形；【建】柱式；【生物】目	no_change
1682	super	Chinese_Trans	在…上方	在…上方（不接触下方物体）；高（超）过；专注于	optional	誤訳ではないが語義が狭い。比較義・超過義を補うと辞書として自然。	在…上方；高于；超过	applied_minimal_fix
1901	ĉapelo	Korean_Trans	테 있는 모자	테가 있는 모자；（버섯） 갓；（기호） 서컴플렉스（^）	keep	帽子義として自然。追加義（버섯 갓・기호）は補足情報。	테 있는 모자; (버섯) 갓; (기호) 서컴플렉스(^)	no_change
1959	ŝelo	Chinese_Trans	皮层，树皮	皮层，树皮；壳，果壳，外壳；（海）船体；（空）机身；（计）命令解释器（shell）	optional	誤訳ではないが「壳/外壳」を落としており、語義幅がやや不足。	皮层，树皮；壳；外壳	applied_minimal_fix
2391	ĝiri	Korean_Trans	계좌 이체하다	어음·수표를 배서하거나 계좌로 이체하다	optional	現訳は成立。ただし 상업文맥の 배서(裏書)義を欠く。	어음·수표를 배서하다; 계좌 이체하다	applied_minimal_fix
2695	meĥaniko	Chinese_Trans	力学	同mekaniko（力学；机械学）	keep	中核義（力学）として成立。同義注記の省略は任意。	同 mekaniko；力学；机械学	no_change
2696	meĥanismo	Chinese_Trans	机械装置	同mekanismo（机械装置；机构）	keep	機械装置義として成立。机构義の追加は任意拡張。	同 mekanismo；机械装置；机构	no_change
