row	esperanto	column	issue_type	current	suggested	reason
56	afero	Chinese_Trans	scope_narrow	事情，事务，案件	事情，事务，案件；（法）诉讼事件；（商）交易	核心義は成立するが、JA/KOにある法務・商務義が落ちる。
257	cemento	Chinese_Trans	scope_narrow	水泥，接合剂	水泥；接合剂；（牙科）黏固剂；（地质）胶结物	中核義は正しいが、専門語義が省略。
732	kapo	Chinese_Trans	scope_narrow	头，头部	头；头脑；先端；领导者	JA/KOと比べると比喩義が不足。
1171	nodo	Chinese_Trans	scope_narrow	结，交点	结；交点；要点；（计）节点	学習用途で「节点」が有用。
1218	ordo	Chinese_Trans	scope_narrow	次序，秩序	次序；秩序；【军】队形；【建】柱式；【生物】目	多義語としての専門領域が不足。
1682	super	Korean_Trans	scope_narrow	위쪽에 떨어져 있음	~의 위쪽에; ~보다 위/높은; ~을 초과하여	현재は位置義のみで、比較義・超過義が欠ける。
1901	ĉapelo	Korean_Trans	scope_narrow	테 있는 모자	테 있는 모자; (버섯) 갓; (기호) 서컴플렉스(^)	帽子義は正しいが、派生義を足すと辞書的に自然。
1910	ĉelo	Korean_Trans	scope_narrow	작은 방, 특히 감옥의 독방	작은 방/독방; (생물) 세포; (벌집) 벌집 칸	現訳は独房義に偏る。
1786	trunko	Korean_Trans	scope_narrow	나무의 줄기	나무줄기; 몸통/체간; (수학) 절두체	現訳は樹木義に限定されすぎ。
2232	medio	Chinese_Trans	scope_narrow	环境	环境；（物理）介质；（化学）媒质；（生物）培养基	JAが持つ学術義が落ちる。
2232	medio	Korean_Trans	scope_narrow	환경	환경; (물리·화학) 매질; (생물) 배지	同上。
2263	operacio	Korean_Trans	scope_narrow	수술	수술; 조작/운용; 연산	JA/ZHは複数義、KOは医療義のみ。
