Batch	StartID	EndID	Rows	Status	NewFixPhraseIDs	NewFixCells	Notes
1	156	255	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch01 re-audit); context-allowable variants retained
2	256	355	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch02 manual): PhraseID 287 KO last-item wording
3	356	455	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch03 re-audit); context-allowable variants retained
4	456	555	100	DONE_PASS12_MANUAL	1	3	new in pass12(batch04 manual): PhraseID 456 JA/ZH/KO Mandarin-specific wording
5	556	655	100	DONE_PASS12_MANUAL	2	2	new in pass12(batch05 manual): PhraseID 582 KO hate-intensity wording, 630 ZH hold-door-open wording
6	656	755	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch06 manual): PhraseID 661 JA person-directed wrongness wording
7	756	855	100	DONE_PASS12_MANUAL	3	3	new in pass12(batch07 manual): PhraseID 803 break-in KO wording, 821/827 lost-property office KO wording
8	856	955	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch08 manual): PhraseID 877 ZH fiancé gender specificity
9	956	1055	100	DONE_PASS12_MANUAL	1	3	new in pass12(batch09 manual): PhraseID 1025 JA/ZH/KO charm-vs-kindness correction
10	1056	1155	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch10 manual): PhraseID 1102 JA hate-intensity correction
11	1156	1255	100	DONE_PASS12_MANUAL	1	2	new in pass12(batch11 manual): PhraseID 1235 ZH/KO fell-in-love nuance
12	1256	1355	100	DONE_PASS12_MANUAL	1	2	new in pass12(batch12 manual): PhraseID 1325 JA/KO give-me-ruler wording
13	1356	1455	100	DONE_PASS12_MANUAL	1	2	new in pass12(batch13 manual): PhraseID 1381 JA/ZH arts-faculty alignment
14	1456	1555	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch14 manual): PhraseID 1540 KO employer-entity wording
15	1556	1655	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch15 re-audit); context-allowable variants retained
16	1656	1755	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch16 manual): PhraseID 1738 ZH offer-vs-kindness wording
17	1756	1855	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch17 manual): PhraseID 1790 KO distance-vs-time correction
18	1856	1955	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch18 re-audit); context-allowable variants retained
19	1956	2055	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch19 re-audit); context-allowable variants retained
20	2056	2155	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch20 re-audit); context-allowable variants retained
21	2156	2255	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch21 re-audit); context-allowable variants retained
22	2256	2355	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch22 re-audit); context-allowable variants retained
23	2356	2455	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch23 re-audit); context-allowable variants retained
24	2456	2555	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch24 re-audit); context-allowable variants retained
25	2556	2655	100	DONE_PASS12_MANUAL	2	2	new in pass12(batch25 manual): PhraseID 2638/2653 KO two-days-vs-two-nights correction
26	2656	2755	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch26 manual): PhraseID 2738 KO wash-vs-clean correction
27	2756	2855	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch27 manual): PhraseID 2812 JA lock-vs-key correction
28	2856	2955	100	DONE_PASS12_MANUAL	2	2	new in pass12(batch28 manual): PhraseID 2860 KO tableware wording, 2945 ZH offer-vs-treat wording
29	2956	3055	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch29 re-audit); context-allowable variants retained
30	3056	3155	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch30 re-audit); context-allowable variants retained
31	3156	3255	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch31 manual): PhraseID 3197 KO double-vs-two-glasses correction
32	3256	3355	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch32 manual): PhraseID 3337 KO bean-soup lexical alignment
33	3356	3455	100	DONE_PASS12_MANUAL	1	2	new in pass12(batch33 manual): PhraseID 3363 JA/ZH sweet-buns lexical alignment
34	3456	3555	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch34 manual): PhraseID 3539 KO another-item wording
35	3556	3655	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch35 manual): PhraseID 3617 KO silverware material alignment
36	3656	3755	100	DONE_PASS12_MANUAL	1	3	new in pass12(batch36 manual): PhraseID 3671 JA/ZH/KO chocolate-candies alignment
37	3756	3855	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch37 re-audit); context-allowable variants retained
38	3856	3955	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch38 re-audit); context-allowable variants retained
39	3956	4055	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch39 re-audit); context-allowable variants retained
40	4056	4155	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch40 re-audit); context-allowable variants retained
41	4156	4255	100	DONE_PASS12_MANUAL	1	1	new in pass12(batch41 manual): PhraseID 4255 KO another-service selection wording
42	4256	4355	100	DONE_PASS12_MANUAL	1	3	new in pass12(batch42 manual): PhraseID 4347 JA/ZH/KO new-build-vs-secondary wording
43	4356	4455	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch43 re-audit); context-allowable variants retained
44	4456	4555	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch44 re-audit); context-allowable variants retained
45	4556	4655	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch45 re-audit); context-allowable variants retained
46	4656	4755	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch46 re-audit); context-allowable variants retained
47	4756	4855	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch47 re-audit); context-allowable variants retained
48	4856	4955	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch48 re-audit); context-allowable variants retained
49	4956	5055	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch49 re-audit); context-allowable variants retained
50	5056	5155	100	DONE_PASS12_MANUAL	0	0	no clear semantic mismatch in pass12(batch50 re-audit); context-allowable variants retained
