row	esperanto	column	severity	action	type	current	suggested	reason
56	afero	Chinese_Trans	medium	pending_manual_review	semantic_narrowing	事情，事务，案件	事情，事务，案件；【法】诉讼事件；【商】交易	法学・商業の語義が脱落している。
257	cemento	Chinese_Trans	medium	pending_manual_review	semantic_narrowing	水泥，接合剂	水泥；接合剂；（牙科）黏固剂；（地质）胶结物	専門語義（歯科・地質）が落ち、学習語彙として情報量が低下。
732	kapo	Chinese_Trans	medium	pending_manual_review	semantic_narrowing	头，头部	头；头脑；先端；领导者	比喩義・派生義が大きく削られている。
1171	nodo	Chinese_Trans	medium	pending_manual_review	semantic_narrowing	结，交点	结；交点；要点；（计）节点	学習上重要な「节点」などの語義が欠落。
1218	ordo	Chinese_Trans	medium	pending_manual_review	semantic_narrowing	次序，秩序	次序；秩序；【军】队形；【建】柱式；【生物】目	多義語としての専門語義が欠落。
1682	super	Chinese_Trans	medium	pending_manual_review	semantic_narrowing	在…上方	在…上方；高于；超过	前置詞 super の比較義・超過義が落ちる。
1901	ĉapelo	Korean_Trans	medium	pending_manual_review	semantic_narrowing	테 있는 모자	테 있는 모자; (버섯) 갓; (기호) 캐럿(^)	複合語で頻出の派生義（버섯 갓, ^）が削除。
1959	ŝelo	Chinese_Trans	medium	pending_manual_review	semantic_narrowing	皮层，树皮	皮层；树皮；壳；外壳	基本語義の「殻」が消えており過度に限定的。
2391	ĝiri	Korean_Trans	medium	pending_manual_review	semantic_narrowing	계좌 이체하다	어음/수표를 배서하다; 계좌 이체하다	ĝiri は 배서(裏書) を含むため、現訳は狭すぎる。
2695	meĥaniko	Chinese_Trans	medium	pending_manual_review	semantic_narrowing	力学	同 mekaniko；力学；机械学	同義語注記と機械学語義の情報が落ちる。
2696	meĥanismo	Chinese_Trans	medium	pending_manual_review	semantic_narrowing	机械装置	同 mekanismo；机械装置；机构	「机构」語義が欠落。
