PhraseID,current_phrase,current_audio_key,matched_audio_file,match_type
184,Estis agrable konatiĝi kun vi,0029_estis_agrable_konatigxi_kun_vi,0029_estis_agrable_renkontigxi_kun_vi.wav,prefix_fallback
388,Feliĉan Divalion!,0233_felicxan_divalion,0233_felicxan_diwalion.wav,prefix_fallback
551,Ĉu vi trovas teatron aŭ operon pli interesa?,0396_cxu_vi_trovas_teatron_aux_operon_pli_interesa,0396_cxu_vi_trovas_teatron_aux_operon_pli_interesan.wav,prefix_fallback
594,Mi sentas min embarasita,0439_mi_sentas_min_embarasita,0439_mi_sentas_min_gxenata.wav,prefix_fallback
715,Kie estas la oficejo pri perditaj aĵoj?,0560_kie_estas_la_oficejo_pri_perditaj_ajxoj,0560_kie_estas_la_perditajxejo.wav,prefix_fallback
725,Mi estas traŭmatizita,0570_mi_estas_trauxmatizita,0570_mi_estas_trauxmigita.wav,prefix_fallback
821,Vi devus turni vin al la oficejo pri perditaj aĵoj,0666_vi_devus_turni_vin_al_la_oficejo_pri_perditaj_ajxoj,0666_vi_devus_turni_vin_al_la_perditajxejo.wav,prefix_fallback
827,Ĉu vi turniĝis al la oficejo pri perditaj aĵoj?,0672_cxu_vi_turnigxis_al_la_oficejo_pri_perditaj_ajxoj,0672_cxu_vi_turnigxis_al_la_perditajxejo.wav,prefix_fallback
856,Ankaŭ mi ĝojas konatiĝi kun vi,0701_ankaux_mi_gxojas_konatigxi_kun_vi,0701_ankaux_mi_gxojas_renkonti_vin.wav,prefix_fallback
929,Li loĝas en Nov-Zelando jam de ses monatoj,0774_li_logxas_en_nov_zelando_jam_de_ses_monatoj,0774_li_logxas_en_nov_zelando_de_ses_monatoj.wav,prefix_fallback
951,Ĝi estas la 14-a de junio,0796_gxi_estas_la_14_a_de_junio,0796_gxi_estas_la_14_an_de_junio.wav,prefix_fallback
957,Mi estas siĥo,0802_mi_estas_sihxo,0802_mi_estas_sikho.wav,prefix_fallback
964,Mia naskiĝtago estas la 9-a de februaro,0809_mia_naskigxtago_estas_la_9_a_de_februaro,0809_mia_naskigxtago_estas_la_9_an_de_februaro.wav,prefix_fallback
1156,"Sinjoroj, ni povas ludi partion de golfo",1001_sinjoroj_ni_povas_ludi_partion_de_golfo,1001_sinjoroj_ni_povas_ludi_partion_da_golfo.wav,prefix_fallback
1277,Via nova hararanĝo estas bonega,1122_via_nova_hararangxo_estas_bonega,1122_via_nova_frizajxo_estas_bonega.wav,prefix_fallback
1343,"Ĉu vi havas plumon, kiun mi povus pruntepreni?",1188_cxu_vi_havas_plumon_kiun_mi_povus_pruntepreni,1188_cxu_vi_havas_plumon_kiun_mi_povus_prunti.wav,prefix_fallback
1372,En kiu studjaro vi estas?,1217_en_kiu_studjaro_vi_estas,1217_en_kiu_studojaro_vi_estas.wav,prefix_fallback
1374,Mi estas en mia lasta studjaro,1219_mi_estas_en_mia_lasta_studjaro,1219_mi_estas_en_mia_lasta_studojaro.wav,prefix_fallback
1397,Ŝi havas diplomon pri administrado,1242_sxi_havas_diplomon_pri_administrado,1242_sxi_havas_diplomon_pri_mastrumado.wav,prefix_fallback
1551,Mi laboras en vokcentro,1396_mi_laboras_en_vokcentro,1396_mi_laboras_en_telefoncentro.wav,prefix_fallback
1573,Lili estas bonega administranto pri vendoj,1418_lili_estas_bonega_administranto_pri_vendoj,1418_lili_estas_bonega_vendoestro.wav,prefix_fallback
1583,Mi estas dommastrino,1428_mi_estas_dommastrino,1428_mi_estas_hejmmastrino.wav,prefix_fallback
1589,Li estis promociita,1434_li_estis_promociita,1434_li_estis_altrangigita.wav,prefix_fallback
1594,Mi estas partnero en advokata firmao,1439_mi_estas_partnero_en_advokata_firmao,1439_mi_estas_partnero_en_advokatura_firmao.wav,prefix_fallback
1612,Li hodiaŭ forestas pro malsano,1457_li_hodiaux_forestas_pro_malsano,1457_li_hodiaux_forrestas_pro_malsano.wav,prefix_fallback
1650,La limtempo por liveri la varojn eksvalidiĝas,1495_la_limtempo_por_liveri_la_varojn_eksvalidigxas,1495_la_liverlimo_de_la_varoj_eksvalidigxas.wav,prefix_fallback
1683,Kiam ni negocos pri la prezo?,1528_kiam_ni_negocos_pri_la_prezo,1528_kiam_ni_negocios_pri_la_prezo.wav,prefix_fallback
1727,Mi deziras kandidatiĝi por la posteno de oficeja administranto,1572_mi_deziras_kandidatigxi_por_la_posteno_de_oficeja_administranto,1572_mi_deziras_kandidatigxi_por_la_posteno_de_oficejestro.wav,prefix_fallback
1750,Ŝi bone plenumas siajn devojn,1595_sxi_bone_plenumas_siajn_devojn,1595_sxi_bone_traktas_respondecon.wav,prefix_fallback
1753,Li estas kreema solvanto de problemoj,1598_li_estas_kreema_solvanto_de_problemoj,1598_li_estas_kreema_problemsolvanto.wav,prefix_fallback
1877,Kie estas la turisma oficejo?,1722_kie_estas_la_turisma_oficejo,1722_kie_estas_la_turista_informejo.wav,prefix_fallback
1957,Ĉu estas halto dumvoje?,1802_cxu_estas_halto_dumvoje,1802_cxu_estas_interhalto.wav,prefix_fallback
2011,Kiam komenciĝas la enŝipiĝo?,1856_kiam_komencigxas_la_ensxipigxo,1856_kiam_komencigxas_la_enbordigxo.wav,prefix_fallback
2032,"Mi timas, ke vi ne povas kunporti tion",1877_mi_timas_ke_vi_ne_povas_kunporti_tion,1877_mi_timas_ke_vi_ne_povas_traporti_tion.wav,prefix_fallback
2094,Jen mia transitvizo,1939_jen_mia_transitvizo,1939_jen_mia_tranzitvizo.wav,prefix_fallback
2134,"Sakon por vomado, mi petas",1979_sakon_por_vomado_mi_petas,1979_vomsakon_mi_petas.wav,prefix_fallback
2151,Ĉu vi dezirus iom da manĝaĵo aŭ trinkaĵo?,1996_cxu_vi_dezirus_iom_da_mangxajxo_aux_trinkajxo,1996_cxu_vi_dezirus_iom_da_mangxajxo_aux_trinkajxojn.wav,prefix_fallback
2360,Parkumado malpermesita,2205_parkumado_malpermesita,2205_parkumado_malpermesata.wav,prefix_fallback
2364,Eniro malpermesita,2209_eniro_malpermesita,2209_eniro_malpermesata.wav,prefix_fallback
2459,Ĉu ĉi tio estas eksprestrajno aŭ loka trajno?,2304_cxu_cxi_tio_estas_eksprestrajno_aux_loka_trajno,2304_cxu_cxi_tio_estas_eksprestrajno_aux_loktrajno.wav,prefix_fallback
2489,Ĉu estas restoracia vagono?,2334_cxu_estas_restoracia_vagono,2334_cxu_estas_vagonrestoracio.wav,prefix_fallback
