row_index	Esperanto	audio_key	has_audio
0	-a	a	True
1	-ant-	ant	True
2	-as	as	True
3	-at-	at	True
4	-aĉ-	acx	True
5	-e	e	True
6	-eg-	eg	True
7	-end-	end	True
8	-er-	er	True
9	-et-	et	True
10	-i	i	True
11	-ing-	ing	True
12	-int-	int	True
13	-is	is	True
14	-it-	it	True
15	-j	j	True
16	-n	n	True
17	-nj-	nj	True
18	-o	o	True
19	-ont-	ont	True
20	-op-	op	True
21	-os	os	True
22	-ot-	ot	True
23	-u	u	True
24	-um-	um	True
25	-us	us	True
26	-ĉj-	cxj	True
27	Afriko	afriko	True
28	Ameriko	ameriko	True
29	Atlantiko	atlantiko	True
30	Azio	azio	True
31	Aŭstralio	auxstralio	True
32	Esperanto	esperanto	True
33	Eŭropo	euxropo	True
34	Mediteraneo	mediteraneo	True
35	Pacifiko	pacifiko	True
36	abelo	abelo	True
37	aboni	aboni	True
38	absoluta	absoluta	True
39	absurda	absurda	True
40	abunda	abunda	True
41	adapti	adapti	True
42	adiaŭ	adiaux	True
43	adicii	adicii	True
44	adjektivo	adjektivo	True
45	administri	administri	True
46	admiri	admiri	True
47	admoni	admoni	True
48	adopti	adopti	True
49	adori	adori	True
50	adreso	adreso	True
51	adverbo	adverbo	True
52	advokato	advokato	True
53	aero	aero	True
54	afabla	afabla	True
55	afero	afero	True
56	afiŝo	afisxo	True
57	aflikti	aflikti	True
58	afranki	afranki	True
59	agi	agi	True
60	agrabla	agrabla	True
61	ajlo	ajlo	True
62	ajn	ajn	True
63	akademio	akademio	True
64	akceli	akceli	True
65	akcento	akcento	True
66	akcepti	akcepti	True
67	akcidento	akcidento	True
68	akiri	akiri	True
69	akompani	akompani	True
70	akordo	akordo	True
71	akra	akra	True
72	aktiva	aktiva	True
73	akto	akto	True
74	aktoro	aktoro	True
75	aktuala	aktuala	True
76	akurata	akurata	True
77	akuzi	akuzi	True
78	akvo	akvo	True
79	al	al	True
80	albumo	albumo	True
81	alfabeto	alfabeto	True
82	alia	alia	True
83	alkoholo	alkoholo	True
84	almenaŭ	almenaux	True
85	almozo	almozo	True
86	alta	alta	True
87	alterni	alterni	True
