row	esperanto	column	before	after	reason
56	afero	Chinese_Trans	事情，事务，案件	事情，事务，案件；（法）诉讼事件；（商）交易	optional_medium12_apply_cautious
870	korpo	Chinese_Trans	身体，体	身体，体；物体；（数）体	optional_medium12_apply_cautious
1105	modo	Korean_Trans	유행, 특히 의상·패션의 유행	유행; (문법) 서법; (통계) 최빈값	optional_medium12_apply_cautious
1243	paneo	Korean_Trans	고장, 멈춤	고장으로 인한 정지; (컴퓨터) 크래시	optional_medium12_apply_cautious
1292	periodo	Korean_Trans	기간, 시기	기간, 시기; (물리) 주기; (지질) 기	optional_medium12_apply_cautious
1432	punkto	Chinese_Trans	点，地点	点；地点；句点；要点；（数）点	optional_medium12_apply_cautious
1440	radiko	Korean_Trans	식물의 뿌리, 사물의 근본	뿌리; (언어) 어근; (수학) 근	optional_medium12_apply_cautious
1746	tipo	Korean_Trans	유형, 전형이 되는 형식이나 모델	유형, 전형; (인쇄) 활자; (정보) 글꼴	optional_medium12_apply_cautious
1756	tono	Korean_Trans	소리나 목소리의 높낮이와 어조	소리의 높낮이, 어조; 색조, 톤	optional_medium12_apply_cautious
2020	agordi	Korean_Trans	악기의 음을 맞추어 조율하다	조율하다; (무선) 동조하다; (컴퓨터) 설정하다	optional_medium12_apply_cautious
2094	faktoro	Korean_Trans	어떤 결과를 낳는 요인, 요소	요인, 요소; (수학) 인수	optional_medium12_apply_cautious
2117	frakcio	Korean_Trans	수학의 분수	(수학) 분수; (정치) 파벌	optional_medium12_apply_cautious
