PhraseID,phrase,voice,output_file,matched_audio_file,status
285,Mi agis senzorge,spomenka,0130_mi_agis_senzorge.wav,0130_estis_senzorge_de_mia_flanko.wav,generated
388,Feliĉan Divalon!,spomenka,0233_felicxan_divalon.wav,0233_felicxan_divalion.wav,generated
449,Mi havas akĉenton,spomenka,0294_mi_havas_akcxenton.wav,0294_mi_havas_akcenton.wav,generated
457,Vi ne havas akĉenton,spomenka,0302_vi_ne_havas_akcxenton.wav,0302_vi_ne_havas_akcenton.wav,generated
532,Ĉu vi povas rekomendi junulargastejon?,spomenka,0377_cxu_vi_povas_rekomendi_junulargastejon.wav,0377_cxu_vi_povas_rekomendi_hostelon.wav,generated
551,"Kion vi trovas pli interesa, teatron aŭ operon?",spomenka,0396_kion_vi_trovas_pli_interesa_teatron_aux_operon.wav,0396_cxu_vi_trovas_teatron_aux_operon_pli_interesa.wav,generated
632,Ĉu vi estus tiel afabla kaj klarigus tion denove?,spomenka,0477_cxu_vi_estus_tiel_afabla_kaj_klarigus_tion_denove.wav,0477_cxu_vi_estus_tiel_afabla_klarigi_tion_denove.wav,generated
641,Ĉu ĝenus vin doni al mi la tekkomputilon?,spomenka,0486_cxu_gxenus_vin_doni_al_mi_la_tekkomputilon.wav,0486_cxu_vi_gxenus_doni_al_mi_la_tekkomputilon.wav,generated
701,Estu singarda!,spomenka,0546_estu_singarda.wav,0546_estu_singardema.wav,generated
766,Mi tordis al mi la maleolon,spomenka,0611_mi_tordis_al_mi_la_maleolon.wav,0611_mi_distordis_mian_maleolon.wav,generated
803,Oni enrompis en mian aŭton,spomenka,0648_oni_enrompis_en_mian_auxton.wav,0648_oni_enrompis_mian_auxton.wav,generated
826,Ni penos fari lian fotoroboton,spomenka,0671_ni_penos_fari_lian_fotoroboton.wav,0671_ni_penos_fari_lian_fantombildon.wav,generated
827,Ĉu vi turnis vin al la oficejo pri perditaj aĵoj?,spomenka,0672_cxu_vi_turnis_vin_al_la_oficejo_pri_perditaj_ajxoj.wav,0672_cxu_vi_turnigxis_al_la_oficejo_pri_perditaj_ajxoj.wav,generated
853,Ĉu mi povas prezenti min?,spomenka,0698_cxu_mi_povas_prezenti_min.wav,0698_cxu_mi_povas_prezentigxi.wav,generated
854,Mi ŝatus prezenti Alicon al vi,spomenka,0699_mi_sxatus_prezenti_alicon_al_vi.wav,0699_mi_sxatus_prezenti_vin_al_alico.wav,generated
888,Kio estas via adreso?,spomenka,0733_kio_estas_via_adreso.wav,0733_kiu_estas_via_adreso.wav,generated
935,Mi estas usonano,spomenka,0780_mi_estas_usonano.wav,0780_mi_estas_amerikano.wav,generated
952,Al kiu religio vi apartenas?,spomenka,0797_al_kiu_religio_vi_apartenas.wav,0797_kia_estas_via_religio.wav,generated
954,Mi estas islamanino,spomenka,0799_mi_estas_islamanino.wav,0799_mi_estas_musulmanino.wav,generated
984,Mi estas edziniĝinta,spomenka,0829_mi_estas_edzinigxinta.wav,0829_mi_estas_edzigxinta.wav,generated
991,"Ne, mi estas fraŭla",spomenka,0836_ne_mi_estas_frauxla.wav,0836_ne_mi_estas_sola.wav,generated
1018,"Ne, mi estas solinfano",spomenka,0863_ne_mi_estas_solinfano.wav,0863_ne_mi_estas_sola_infano.wav,generated
1064,Mi amas iri al noktokluboj,spomenka,0909_mi_amas_iri_al_noktokluboj.wav,0909_mi_amas_klubumi.wav,generated
1086,Kion vi pensas pri hororaj filmoj?,spomenka,0931_kion_vi_pensas_pri_hororaj_filmoj.wav,0931_kion_vi_pensas_pri_teruraj_filmoj.wav,generated
1206,Kio pri hodiaŭ?,spomenka,1051_kio_pri_hodiaux.wav,1051_kiel_pri_hodiaux.wav,generated
1254,Lasu min trankvila,spomenka,1099_lasu_min_trankvila.wav,1099_lasu_min_trankvilan.wav,generated
1260,Mi amas vin el mia tuta koro,spomenka,1105_mi_amas_vin_el_mia_tuta_koro.wav,1105_mi_amas_vin_per_mia_tuta_koro.wav,generated
1273,Mi ŝatas vian veston,spomenka,1118_mi_sxatas_vian_veston.wav,1118_mi_sxatas_vian_vestaron.wav,generated
1304,"Mi esperas, ke vi ege feliĉigos unu la alian",spomenka,1149_mi_esperas_ke_vi_ege_felicxigos_unu_la_alian.wav,1149_mi_esperas_ke_vi_faros_unu_la_alian_ege_felicxaj.wav,generated
1356,Neniu rajtas forlasi la klasĉambron nun,spomenka,1201_neniu_rajtas_forlasi_la_klascxambron_nun.wav,1201_neniu_rajtas_forlasi_la_klason_nun.wav,generated
1378,Mi studas la hindian,spomenka,1223_mi_studas_la_hindian.wav,1223_mi_studas_la_hindan.wav,generated
1386,Mi prenas liberan jaron,spomenka,1231_mi_prenas_liberan_jaron.wav,1231_mi_prenas_pauxzjaron.wav,generated
1444,Li malsukcesis en la ekzameno pri filozofio,spomenka,1289_li_malsukcesis_en_la_ekzameno_pri_filozofio.wav,1289_li_fiaskis_en_la_ekzameno_pri_filozofio.wav,generated
1486,Ruĝo kaj verdo faras brunon,spomenka,1331_rugxo_kaj_verdo_faras_brunon.wav,1331_rugxa_kaj_verda_faras_brunan.wav,generated
1503,Flavo kaj ruĝo faras oranĝan koloron,spomenka,1348_flavo_kaj_rugxo_faras_orangxan_koloron.wav,1348_flava_kaj_rugxa_faras_orangxan.wav,generated
1504,Verdo kaj flavo faras helverdan koloron,spomenka,1349_verdo_kaj_flavo_faras_helverdan_koloron.wav,1349_verda_kaj_flava_faras_helverdan.wav,generated
1600,Mi estis maldungita pro redukto de laborfortoj antaŭ du monatoj,spomenka,1445_mi_estis_maldungita_pro_redukto_de_laborfortoj_antaux_du_monatoj.wav,1445_oni_maldungis_min_antaux_du_monatoj.wav,generated
1650,La limtempo por liveri la varojn finiĝas,spomenka,1495_la_limtempo_por_liveri_la_varojn_finigxas.wav,1495_la_limtempo_por_liveri_la_varojn_eksvalidigxas.wav,generated
1664,Mi ofte faras afervojaĝojn,spomenka,1509_mi_ofte_faras_afervojagxojn.wav,1509_mi_ofte_faras_laborvojagxojn.wav,generated
1686,Ĉu vi havas formularon por vivresumo?,spomenka,1531_cxu_vi_havas_formularon_por_vivresumo.wav,1531_cxu_vi_havas_modelon_de_vivresumo.wav,generated
1713,Ĉi tio estas via laborkontrakto,spomenka,1558_cxi_tio_estas_via_laborkontrakto.wav,1558_cxi_tio_estas_via_laborokontrakto.wav,generated
1736,Mi havas 15-jaran sperton kiel flegistino,spomenka,1581_mi_havas_15_jaran_sperton_kiel_flegistino.wav,1581_mi_havas_15_jaran_sperton_laborante_kiel_flegistino.wav,generated
1767,Li estas fidinda persono kun bona humursento,spomenka,1612_li_estas_fidinda_persono_kun_bona_humursento.wav,1612_li_estas_fidinda_persono_kun_bona_humorsento.wav,generated
1780,Kiun ŝparvojon mi povas preni?,spomenka,1625_kiun_sxparvojon_mi_povas_preni.wav,1625_kiun_mallongan_vojon_mi_povas_preni.wav,generated
1807,"Ĉu vi scias, kie troviĝas la kanada ambasadejo?",spomenka,1652_cxu_vi_scias_kie_trovigxas_la_kanada_ambasadejo.wav,1652_cxu_vi_scias_kie_trovigxas_la_kanada_ambasadorejo.wav,generated
1840,Vi prefere prenu la buson,spomenka,1685_vi_prefere_prenu_la_buson.wav,1685_vi_pli_bone_prenu_la_buson.wav,generated
1906,Kie mi povas preni la navedan buson?,spomenka,1751_kie_mi_povas_preni_la_navedan_buson.wav,1751_kie_mi_povas_preni_la_navedbuson.wav,generated
1978,Ĉu mi povas ŝanĝi aviadilon en la sama tago?,spomenka,1823_cxu_mi_povas_sxangxi_aviadilon_en_la_sama_tago.wav,1823_cxu_mi_povas_fari_la_transiron_en_la_sama_tago.wav,generated
1989,Kiom da tempo necesas por ŝanĝi aviadilon?,spomenka,1834_kiom_da_tempo_necesas_por_sxangxi_aviadilon.wav,1834_kiom_da_tempo_necesas_por_la_transsxangxo.wav,generated
2044,Ĉu vi registrigas iun bagaĝon?,spomenka,1889_cxu_vi_registrigas_iun_bagagxon.wav,1889_cxu_vi_enregistras_iun_bagagxon.wav,generated
2057,"Ĉu mi devas registrigi ĉi tion kiel bagaĝon, aŭ ĉu mi povas kunporti ĝin?",spomenka,1902_cxu_mi_devas_registrigi_cxi_tion_kiel_bagagxon_aux_cxu_mi_povas_kunporti_gxin.wav,1902_cxu_mi_devas_enregistri_cxi_tion_aux_cxu_mi_povas_kunporti_gxin.wav,generated
2089,Kiom da dogano mi devas pagi?,spomenka,1934_kiom_da_dogano_mi_devas_pagi.wav,1934_kiom_da_imposto_mi_devas_pagi.wav,generated
2100,Mi havas statuson de rifuĝinto,spomenka,1945_mi_havas_statuson_de_rifugxinto.wav,1945_mi_havas_rifugxintan_statuson.wav,generated
2113,Vi devas pagi doganon por ĉi tiuj varoj,spomenka,1958_vi_devas_pagi_doganon_por_cxi_tiuj_varoj.wav,1958_vi_devas_pagi_imposton_por_cxi_tiuj_varoj.wav,generated
2143,La loka tempo estas 21:34,spomenka,1988_la_loka_tempo_estas_21_34.wav,1988_la_loka_tempo_estas_la_21_34.wav,generated
2157,Ĉu vi povus traduki ĝin en la turkan?,spomenka,2002_cxu_vi_povus_traduki_gxin_en_la_turkan.wav,2002_cxu_vi_povus_traduki_gxin_al_la_turka.wav,generated
