row	esperanto	column	verdict	current_or_summary	suggested_minimal	reason	note
56	afero	Chinese_Trans	applied	事情，事务，案件	事情，事务，案件；（法）诉讼事件；（商）交易	中核義は正しいが、JA/KOにある法商語義の補完で学習価値が上がる。	applied in cautious medium pass
269	ciklo	Chinese_Trans|Korean_Trans	kept	周期；组诗 / 주기, 반복되는 순환	周期；循环；（化）环；（物理）周波单位 / 주기; 순환; (화학) 고리	ZH/KOともやや狭い。	kept to avoid over-expansion
870	korpo	Chinese_Trans	applied	身体，体	身体；物体；（数）体	JA準拠で数学義補完が有益。	applied in cautious medium pass
1105	modo	Korean_Trans	applied	유행, 특히 의상·패션의 유행	유행; (문법) 서법; (통계) 최빈값	JAの主要多義が欠落。	applied in cautious medium pass
1218	ordo	Chinese_Trans	kept	次序，秩序	次序；秩序；【军】队形；【建】柱式；【生物】目	中核義は正しいが専門義は不足。	kept to avoid over-expansion
1243	paneo	Korean_Trans	applied	고장, 멈춤	고장으로 인한 정지; (컴퓨터) 크래시	現代用法（IT）補完が有用。	applied in cautious medium pass
1292	periodo	Korean_Trans	applied	기간, 시기	기간, 시기; 주기; (지질) 기	周期義が欠落。	applied in cautious medium pass
1432	punkto	Chinese_Trans	applied	点，地点	点；地点；句点；要点；（计）点/点号	句点・要点義の補完が有用。	applied in cautious medium pass
1440	radiko	Korean_Trans	applied	식물의 뿌리, 사물의 근본	뿌리; (언어) 어근; (수학) 근	語根・数学根の補完が有用。	applied in cautious medium pass
1462	redukti	Korean_Trans	kept	줄이다, 축소하다	줄이다; (화학) 환원하다; (의학) 정복하다	専門義が欠落。	kept to avoid over-expansion
1746	tipo	Korean_Trans	applied	유형, 전형이 되는 형식이나 모델	유형; 전형; (인쇄) 활자; (정보) 글꼴	印刷/情報義補完が有用。	applied in cautious medium pass
1756	tono	Korean_Trans	applied	소리나 목소리의 높낮이와 어조	음의 높낮이, 어조; 색조, 톤	色調義欠落。	applied in cautious medium pass
2020	agordi	Korean_Trans	applied	악기의 음을 맞추어 조율하다	조율하다; (무선) 동조하다; (컴퓨터) 설정하다	現代IT義欠落。	applied in cautious medium pass
2094	faktoro	Korean_Trans	applied	…요인, 요소	요인, 요소; (수학) 인수	数学義補完が有用。	applied in cautious medium pass
2117	frakcio	Korean_Trans	applied	수학의 분수	분수; (정치) 파벌	政治義欠落。	applied in cautious medium pass
2160	kancero	Korean_Trans	kept	악성 종양, 암	암; (천문) 게자리	天文義補完が有用。	kept to avoid over-expansion
