Batch	PhraseID	TopicName_EN	SubtopicName_EN	Esperanto	Русский язык	Column	Old	New	Decision	Reason
2	350	Basic Sentences	Short Questions & Answers	Prenu ĉi tion!	Возьмите это!	日本語/中文	これでもくらえ！ / 接招吧！	これを受け取ってください！ / 拿着这个！	FIX	"EO+RU indicate neutral handover ""Take this""; JA/ZH had combative/attack nuance."
3	444	General Conversation	Making Yourself Understood	Ĉu vi komprenis, kion mi diris?	Ты понял, что я сказала?	한국어	제가 말씀하신 내용을 이해했나요?	제가 말한 내용을 이해하셨나요?	FIX	"Korean had subject inversion (""Did I understand""); source asks ""Did you understand what I said?"""
5	610	General Conversation	Help & Advice	Ĉu vi povas helpi min?	Можешь мне помочь?	한국어	도와드릴 수 있을까요?	도와주실 수 있을까요?	FIX	"KO was reversed to ""Can I help you?""; source asks ""Can you help me?"""
5	618	General Conversation	Help & Advice	Kion vi proponas?	Что ты предлагаешь?	日本語	どうされたいですか？	何か提案はありますか？	FIX	JA asked listener preference (what do you want to do), not proposal/suggestion.
9	1046	Making Friends	Describing People	Mi havas buŝon por manĝi	У меня есть рот, чтобы есть.	中文	我还得吃饭呢。	我有嘴巴可以吃东西。	FIX	"ZH had idiomatic drift (""I still have to eat""); source is literal body-part function statement."
9	1055	Making Friends	Describing People	Vi similas al mia fratino	Ты похожа на мою сестру.	한국어	당신은 제 여동생(누나/언니)과 닮으셨어요.	당신은 제 여동생을 닮았어요.	FIX	KO contained unresolved parenthetical alternatives and unnatural form; normalized to natural sister-reference.
10	1087	Making Friends	Things You Like & Dislike	Ili ne tre plaĉas al mi	Они мне не очень нравятся.	中文/한국어	我其实不太喜欢他们。 / 저는 그들을 별로 좋아하지 않아요.	我其实不太喜欢恐怖片。 / 저는 공포 영화를 별로 좋아하지 않아요.	FIX	Pronoun referent drift to people; context target is horror films (objects).
10	1136	Making Friends	Arranging to Meet	Ĉu vi rememorigos min?	Ты мне напомнишь?	日本語	覚えておいてくれる？	私に思い出させてくれる？	FIX	JA shifted to remember/keep in mind, while source means remind me.
12	1341	Education	At School	Mi finis lernejon deksesjaraĝe	Я закончила школу в шестнадцать лет.	日本語/中文/한국어	16歳で学校を辞めました。 / 我十六岁时就辍学了。 / 저는 열여섯 살에 학교를 그만뒀어요.	16歳で学校を卒業しました。 / 我十六岁时就毕业了。 / 저는 열여섯 살에 학교를 졸업했어요.	FIX	Source+RU mean finished/graduated school at 16; previous CJK implied dropping out/quitting.
14	1487	Education	Numbers & Colours	(numeric sequence rows 1487/1488/1489/1495/1511/1525)	(numeric anchors matched)	日本語/한국어	1487 JA 1020304050; 1488 JA 212223; 1489 KO age-marked list; 1495 KO duplicated 45; 1511 KO duplicated 75; 1525 JA 百万円	1487 JA 十、二十、三十、四十、五十。; 1488 JA 二十一、二十二、二十三。; 1489 KO 스물넷, 스물다섯, 스물여섯.; 1495 KO ...마흔여섯.; 1511 KO ...일흔여섯.; 1525 JA 百万。	FIX	Clear numeric/lexical errors: corrupted JA number strings, duplicated KO values, and JA currency marker drift in one-million entry.
