idx	Esperanto	Column	Old	New	Reason
2202	kontribui	Korean_Trans	공헌하다, 기여하다	기여하다, 공헌하다; 기부하다, 기고하다	JAの他動詞義（寄付・寄稿）を補完。
2203	konvencio	Chinese_Trans	公约；惯例	公约，协定；惯例，约定俗成；（美）党代表大会	JAの多義（協定・慣例・党大会）を補完。
2203	konvencio	Korean_Trans	국가 간 협정, 조약	국가 간 협정·조약; 관례·관습; (미국 정치) 전당대회	同上。
2211	kvitanci	Korean_Trans	영수증을발급하다	영수증을 발급하다	韓国語の語間スペース不備を修正。
2212	lanco	Chinese_Trans	长矛	长矛，鱼叉；（将棋）香车	JAの銛・将棋義を補完。
2212	lanco	Korean_Trans	긴 창, 작살	긴 창, 작살; (쇼기) 향차	同上。
2213	lanĉi	Korean_Trans	발사하다	발사하다; 출시하다; (정보) 프로그램을 실행하다	JAの製品投入・起動義を補完。
2220	magio	Chinese_Trans	魔法	魔术，魔法，巫术；（转）神奇力量	JAの呪術・転義を補完。
2220	magio	Korean_Trans	마법	마술, 마법, 주술; (비유) 신기한 힘	同上。
2226	manio	Chinese_Trans	狂热，癖好	狂热，偏执；怪癖；（医）躁狂状态	JAの偏執・医療義を補完。
2226	manio	Korean_Trans	어떤 대상을 향한 광적인 집착	광적인 집착, 편집; 기벽; (의학) 조증 상태	同上。
2229	masko	Chinese_Trans	面具，口罩	面具，假面；口罩；（转）伪装	JAの転義（仮面＝偽り）を補完。
2229	masko	Korean_Trans	얼굴을 가리는 가면	가면, 마스크; (비유) 가식적 모습	同上。
2238	mikrofono	Korean_Trans	음성 입력 장치	마이크로폰, 마이크	機能説明語から辞書語形へ自然化。
2251	neta	Chinese_Trans	净的；整洁的	净的；整洁的；（商）净额的	JAの「正味」義を補完。
2258	nulo	Korean_Trans	수로로서의 영, 제로	수로서의 영, 제로; (비유) 무가치한 사람	語形ミス修正＋JAの転義を補完。
2262	operacio	Chinese_Trans	手术；操作；运算	手术；操作；运算；（军）作战行动	JAの軍事義を補完。
2262	operacio	Korean_Trans	수술; 조작, 운용; 연산	수술; 조작, 운용; 연산; (군사) 작전	同上。
2273	pelvo	Korean_Trans	골반	대야, 세면기; (해부) 골반	JA/ZHの「たらい・洗面器」義を補完。
2281	pokalo	Korean_Trans	우승자에게 주는 컵 모양의 트로피	굽이 달린 잔; 우승컵, 트로피	JAの語義順（杯→優勝杯）に合わせ自然化。
2290	proporcio	Chinese_Trans	比例	比例，比率；均衡	JAの割合・釣合義を補完。
2292	protokolo	Chinese_Trans	协议，议定书；记录	议事录，调书，议定书；（信息）日志；通信协议	JAの議事録・調書・情報義を補完。
2292	protokolo	Korean_Trans	회의나 사건을 적어 남긴 공식 기록	의사록, 조서, 의정서; (정보) 로그; 통신 프로토콜	同上。
